序号,类别,子类,标准编号,文件名称,发布部门,状态,优先级,官方来源
1,国家标准GB,结构设计-混凝土结构,GB 50010-2010(2015修订),混凝土结构设计规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
2,国家标准GB,结构设计-钢结构,GB 50017-2017,钢结构设计标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
3,国家标准GB,结构设计-砌体结构,GB 50003-2011(2021修订),砌体结构设计规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
4,国家标准GB,结构设计-抗震设计,GB 50011-2010(2016修订),建筑抗震设计规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
5,国家标准GB,结构设计-抗震设计,GB 50223-2008,建筑工程抗震设防分类标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
6,国家标准GB,结构设计-地基与基础,GB 50007-2011,建筑地基基础设计规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
7,国家标准GB,结构设计-荷载与作用,GB 50009-2012,建筑结构荷载规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
8,国家标准GB,结构设计-高层建筑,GB 50108-2008,地下工程防水技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
9,国家标准GB,结构设计-混凝土结构,GB/T 50002-2013,建筑模数协调标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
10,国家标准GB,结构设计-高层建筑,JGJ 3-2010,高层建筑混凝土结构技术规程,住建部,现行,S,https://openstd.samr.gov.cn/
11,国家标准GB,结构设计-组合结构,GB 50068-2018,建筑结构可靠性设计统一标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
12,国家标准GB,结构设计-地基与基础,GB 50112-2013,膨胀土地区建筑技术规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
13,国家标准GB,结构设计-地基与基础,GB/T 50145-2007,土的工程分类标准,住建部,现行,B,https://openstd.samr.gov.cn/
14,国家标准GB,结构设计-钢结构,GB 51022-2015,门式刚架轻型房屋钢结构技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
15,国家标准GB,结构设计-钢结构,GB 50018-2002,冷弯薄壁型钢结构技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
16,国家标准GB,结构设计-混凝土结构,GB/T 50476-2019,混凝土结构耐久性设计标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
17,国家标准GB,结构设计-地基与基础,GB 50330-2013,建筑边坡工程技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
18,国家标准GB,结构设计-地基与基础,GB/T 50941-2014,建筑地基基础术语标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
19,国家标准GB,结构设计-荷载与作用,GB 50019-2015,工业建筑供暖通风与空气调节设计规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
20,国家标准GB,结构设计-高层建筑,GB 50352-2019,民用建筑设计统一标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
21,国家标准GB,施工验收-混凝土工程,GB 50204-2015,混凝土结构工程施工质量验收规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
22,国家标准GB,施工验收-统一标准,GB 50300-2013,建筑工程施工质量验收统一标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
23,国家标准GB,施工验收-混凝土工程,GB 50666-2011,混凝土结构工程施工规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
24,国家标准GB,施工验收-钢筋工程,GB 50661-2011,钢结构焊接规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
25,国家标准GB,施工验收-钢结构工程,GB 50205-2020,钢结构工程施工质量验收标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
26,国家标准GB,施工验收-砌体工程,GB 50203-2011,砌体结构工程施工质量验收规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
27,国家标准GB,施工验收-防水工程,GB 50208-2011,地下防水工程质量验收规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
28,国家标准GB,施工验收-防水工程,GB 50207-2012,屋面工程质量验收规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
29,国家标准GB,施工验收-装饰装修,GB 50210-2018,建筑装饰装修工程质量验收标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
30,国家标准GB,施工验收-给排水与暖通,GB 50242-2002,建筑给水排水及采暖工程施工质量验收规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
31,国家标准GB,施工验收-电气工程,GB 50303-2015,建筑电气工程施工质量验收规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
32,国家标准GB,施工验收-电梯与智能建筑,GB 50310-2002,电梯工程施工质量验收规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
33,国家标准GB,施工验收-钢结构工程,GB 50755-2012,钢结构工程施工规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
34,国家标准GB,施工验收-防水工程,GB 50108-2008,地下工程防水技术规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
35,国家标准GB,施工验收-模板与脚手架,GB/T 50214-2013,组合钢模板技术规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
36,国家标准GB,安全规范-施工安全通用,GB 50870-2013,建筑施工安全技术统一规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
37,国家标准GB,安全规范-高处作业,JGJ 80-2016,建筑施工高处作业安全技术规范,住建部,现行,S,https://openstd.samr.gov.cn/
38,国家标准GB,安全规范-施工安全通用,JGJ 59-2011,建筑施工安全检查标准,住建部,现行,S,https://openstd.samr.gov.cn/
39,国家标准GB,安全规范-临时用电,JGJ 46-2005,施工现场临时用电安全技术规范,住建部,现行,S,https://openstd.samr.gov.cn/
40,国家标准GB,安全规范-施工安全通用,GB 50656-2011,施工企业安全生产管理规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
41,国家标准GB,安全规范-起重吊装,JGJ 276-2012,建筑施工起重吊装工程安全技术规范,住建部,现行,A,https://openstd.samr.gov.cn/
42,国家标准GB,安全规范-基坑与地下工程,JGJ 311-2013,建筑深基坑工程施工安全技术规范,住建部,现行,S,https://openstd.samr.gov.cn/
43,国家标准GB,安全规范-模板脚手架安全,JGJ 162-2008,建筑施工模板安全技术规范,住建部,现行,A,https://openstd.samr.gov.cn/
44,国家标准GB,安全规范-消防工程,GB 50720-2011,建设工程施工现场消防安全技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
45,国家标准GB,安全规范-消防工程,GB 50016-2014(2018修订),建筑设计防火规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
46,国家标准GB,安全规范-危险源管理,JGJ 180-2009,建筑施工土石方工程安全技术规范,住建部,现行,B,https://openstd.samr.gov.cn/
47,国家标准GB,材料标准-水泥与混凝土,GB 175-2007,通用硅酸盐水泥,国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
48,国家标准GB,材料标准-水泥与混凝土,GB/T 50081-2019,混凝土物理力学性能试验方法标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
49,国家标准GB,材料标准-水泥与混凝土,GB/T 50082-2009,普通混凝土长期性能和耐久性能试验方法标准,住建部,现行,A,https://openstd.samr.gov.cn/
50,国家标准GB,材料标准-水泥与混凝土,GB 50164-2011,混凝土质量控制标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
51,国家标准GB,材料标准-水泥与混凝土,GB 50119-2013,混凝土外加剂应用技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
52,国家标准GB,材料标准-钢材与钢筋,GB/T 699-2015,优质碳素结构钢,国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
53,国家标准GB,材料标准-钢材与钢筋,GB/T 700-2006,碳素结构钢,国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
54,国家标准GB,材料标准-钢材与钢筋,GB/T 1591-2018,低合金高强度结构钢,国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
55,国家标准GB,材料标准-钢材与钢筋,GB/T 1499.1-2017,钢筋混凝土用钢 第1部分：热轧光圆钢筋,国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
56,国家标准GB,材料标准-钢材与钢筋,GB/T 1499.2-2018,钢筋混凝土用钢 第2部分：热轧带肋钢筋,国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
57,国家标准GB,材料标准-砌体材料,GB/T 2542-2012,砌墙砖试验方法,国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
58,国家标准GB,材料标准-防水材料,GB/T 328.1-2007,建筑防水卷材试验方法,国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
